Wk,Max_P_day,Max_P_intra,Min_P_day,Min_P_intra,Avg_P_day,Avg_P_intra,Std_P_day,Std_P_intra
13,6.5530661925327225,6.807387263451474,-3.5231469800648285,0.32802842968169543,0.119029487031273,1.466107514094313,1.2785378101348965,1.2061517784887517
14,4.367998314638568,7.768930912432925,-3.4393111214729952,0.35399268894857383,0.1230561394037362,1.4295687205588254,1.1157187418887307,1.1242544294592725
15,3.3122818845647064,7.548901262398763,-5.827793670488544,0.32825644681966587,-0.0999044396402694,1.3275415685673806,1.1831365954939037,0.9959938532077178
16,3.889040476854771,4.749916729043066,-2.6004266224903088,0.3496345620473354,0.24075185296782162,1.29095064649688,1.0487605626596332,0.7432184677070284
17,3.327595466837889,4.310479973497343,-4.132355612391513,0.2828565334337053,-0.010845586231073552,1.250212367783249,1.0141628972022212,0.7666934941373877
18,2.845841152289422,9.550653811863816,-3.1115254742283485,0.2980050078185127,-0.015626484064787515,1.3925376132275333,0.9483194299213077,1.062646240221831
19,3.750391687182507,3.7570681071604954,-2.205931704249632,0.2199238489128067,-0.030871900469604554,1.3069236820882486,1.0446657555062293,0.7218943176563993
20,2.845278724491012,3.580605676163094,-3.2284574840136435,0.3222464037396627,0.01970921299012127,1.3163149265818217,1.010908852928177,0.7352003671379356
21,2.6799630017658247,3.263895323402224,-2.4917895336113816,0.18572177097398468,0.03723374089691631,1.1762919979526671,0.8575415592232203,0.7090311781880044
22,3.2241862245033546,3.5766198690181517,-3.0543636997894836,0.24196919148548107,0.09796959001089682,1.2666380511071793,1.0629909967952271,0.7248503029392425
23,2.651184466055237,2.9656664194896476,-2.812736828044835,0.214843583501112,0.00841694255967894,1.2022730664448604,0.9190828551311864,0.6061257378376091
24,2.201228030452864,4.135370995280692,-3.887586496741944,0.3198520372033731,-0.07945891235048791,1.2406776514298363,0.8996805856925499,0.6995786183195889
25,2.869143710592281,3.847376335713909,-3.156179624811105,0.24193868464984095,-0.09569658822268566,1.2265443903490887,0.9866410423239985,0.6885665824228224
26,2.4088081661893352,3.469920208202759,-2.787786951001265,0.24758794774947723,-0.02750857879870225,1.2866152287816917,0.9631782748396733,0.7224965712381083
27,3.6729986080767376,3.677189220950352,-2.694195604546458,0.20734712821504545,0.14604757934011223,1.225346595282007,0.9877156073170528,0.6611240956351
28,2.3691267149943083,3.917248876859319,-3.3962034997127377,0.31249368823342727,-0.01842071855662426,1.1957658758946594,0.9161605346987786,0.7145989459216152
29,2.5282970666644693,5.126302575062914,-3.8352463419651177,0.2303535973424285,0.08142855287498986,1.2140052425336618,0.9819019689103495,0.8733565535583709
30,5.731402319612851,8.849011873009294,-3.2922093349748374,0.2557700421347802,-0.018102519152675165,1.3265028184828405,1.1269824132502384,1.1053549157306146
31,5.40781314958186,5.40781314958186,-4.773734565282331,0.2652927243492396,-0.007188624080664912,1.2545586577299375,1.069975726523897,0.9024051547326195
32,4.668688549670892,7.075972866381609,-6.59335331578452,0.16925796750986974,0.053204921970481066,1.3745464937614928,1.387495186060619,1.2088979500937698
33,4.00470162796077,5.180230789870008,-4.116438098226573,0.28557309243085044,0.0033495628052250424,1.2207308292321868,0.9625748982315314,0.8090770358500007
