Date,Open,High,Low,Close,Volume,Year,M_num,M_nm,D_num,D_nm,Wk,P_intra,P_day,P_Vol,Ex_trd,PEx_trd
2000-03-29 00:00:00-05:00,1507.72998046875,1521.449951171875,1497.449951171875,1508.52001953125,1061900000,2000,3,March,2,Wednesday,13,1.602724684135057,0.05239924076155722,,,
2000-03-30 00:00:00-05:00,1508.52001953125,1517.3800048828125,1474.6300048828125,1487.9200439453125,1193400000,2000,3,March,3,Thursday,13,2.899032290028393,-1.3655752206946934,12.383463602975798,,
2000-03-31 00:00:00-05:00,1487.9200439453125,1519.81005859375,1484.3800048828125,1498.5799560546875,1227400000,2000,3,March,4,Friday,13,2.3868587285190896,0.7164304394414622,2.849002849002849,,
2000-04-03 00:00:00-04:00,1498.5799560546875,1507.18994140625,1486.9599609375,1505.969970703125,1021700000,2000,4,April,0,Monday,14,1.3604926158196877,0.49313449166190615,-16.759002770083104,,
2000-04-04 00:00:00-04:00,1505.97998046875,1526.449951171875,1416.4100341796875,1494.72998046875,1515460000,2000,4,April,1,Tuesday,14,7.768930912432925,-0.7470218824886593,48.327297641186256,0.010009765625,0.0006646723254598844
2000-04-05 00:00:00-04:00,1494.72998046875,1506.550048828125,1478.050048828125,1487.3699951171875,1110300000,2000,4,April,2,Wednesday,14,1.9282161671451032,-0.492395646553794,-26.735116730233727,,
2000-04-06 00:00:00-04:00,1487.3699951171875,1511.760009765625,1487.3699951171875,1501.3399658203125,1008000000,2000,4,April,3,Thursday,14,1.6398081666637259,0.9392397822321492,-9.213726019994596,,
2000-04-07 00:00:00-04:00,1501.3399658203125,1518.6800537109375,1501.3399658203125,1516.3499755859375,891600000,2000,4,April,4,Friday,14,1.1549741088222214,0.9997742088630625,-11.547619047619047,,
2000-04-10 00:00:00-04:00,1516.3499755859375,1527.18994140625,1503.3499755859375,1504.4599609375,853700000,2000,4,April,0,Monday,15,1.5857894839836455,-0.7841207399263512,-4.250785105428443,,
2000-04-11 00:00:00-04:00,1504.4599609375,1512.800048828125,1486.780029296875,1500.5899658203125,971400000,2000,4,April,1,Tuesday,15,1.7500920794285442,-0.25723483626482974,13.787044629260864,,
2000-04-12 00:00:00-04:00,1500.5899658203125,1509.0799560546875,1466.1500244140625,1467.1700439453125,1175900000,2000,4,April,2,Wednesday,15,2.928072224926755,-2.2271188423368318,21.0520897673461,,
2000-04-13 00:00:00-04:00,1467.1700439453125,1477.52001953125,1439.3399658203125,1440.510009765625,1032000000,2000,4,April,3,Thursday,15,2.652608460654938,-1.8171059509909973,-12.237435156050685,,
2000-04-14 00:00:00-04:00,1440.510009765625,1440.510009765625,1339.4000244140625,1356.56005859375,1279700000,2000,4,April,4,Friday,15,7.548901262398763,-5.827793670488544,24.001937984496124,,
2000-04-17 00:00:00-04:00,1356.56005859375,1401.530029296875,1346.5,1401.43994140625,1204700000,2000,4,April,0,Monday,16,4.086894117851838,3.3083594440355113,-5.8607486129561615,,
2000-04-18 00:00:00-04:00,1401.43994140625,1441.6099853515625,1397.81005859375,1441.6099853515625,1109400000,2000,4,April,1,Tuesday,16,3.1334677046090857,2.866340737014002,-7.910683157632606,,
2000-04-19 00:00:00-04:00,1441.6099853515625,1447.68994140625,1424.260009765625,1427.469970703125,1001400000,2000,4,April,2,Wednesday,16,1.645059994662113,-0.9808488281932373,-9.73499188750676,,
2000-04-20 00:00:00-04:00,1427.469970703125,1435.489990234375,1422.0799560546875,1434.5400390625,896200000,2000,4,April,3,Thursday,16,0.9429873561323019,0.49528666132938093,-10.505292590373477,,
