D_nm,Max_P_day,Max_P_intra,Min_P_day,Min_P_intra,Avg_P_day,Avg_P_intra,Std_P_day,Std_P_intra
Monday,9.926044983394961,10.318268164971926,-8.489988743728862,0.17006425179874046,-0.006745214347214299,1.2981975016516847,1.2031888210118777,1.0705791606927841
Tuesday,10.789005877973542,11.267404265348363,-5.802760640495188,0.1784951741848152,0.037680285231744465,1.3229165167303534,1.1527894985838456,0.9957175442851134
Wednesday,5.731402319612851,8.849011873009294,-8.72309982506855,0.17346711421379252,0.015623235428882174,1.3621126820871465,1.121042467225168,1.0125162887962582
Thursday,6.8172462358207895,11.520845135881483,-7.941968126633409,0.18526072008604064,0.039413505982819445,1.3888143769114172,1.1561211097687496,1.094314405623786
Friday,5.846475559815283,11.49797558491965,-5.827793670488544,0.14574719377504383,-0.005763444005512805,1.3013490136380146,1.0346252071710245,0.9908920615805088
